Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
8 km,F,6,35:47,2147,Ava,Johnson ,USA,8/22/10,,Belmar NJ USA,7/8/17,5 mile,44.9
8 km,F,7,34:31,2071,Summer,Wilson ,USA,7/9/08,Brea Classic 8K,Brea CA USA,2/28/16,,46.9
8 km,F,8,31:04,1864,Megan,Crum ,USA,8/27/07,,Olympia WA USA,7/16/16,,53.0
8 km,F,9,31:06,1866,Megan,Crum ,USA,8/27/07,,Glendale AZ USA,3/18/17,,53.0
8 km,F,10,35:43,2143,Hannah,Reed ,USA,3/26/04,,Bishop GA USA,12/20/14,,45.0
8 km,F,11,29:21,1761,Lindsey,Scherf ,USA,9/18/86,,Spring Lake NJ USA,5/23/98,,56.7
8 km,F,12,29:55,1795,Tess,vanRandtwijk ,NED,10/4/04,,Apeldoorn NED,2/5/17,,55.4
8 km,F,13,29:53,1793,Camille,Napier ,USA,7/23/03,,Bishop GA USA,12/17/16,,55.5
8 km,F,14,27:40,1660,Laura,Craven ,USA,12/9/64,,Columbus OH USA,5/6/79,,60.8
8 km,F,15,26:10,1570,Lydia,Cheromei Kogo,KEN,5/11/77,,Portland OR USA,4/25/93,,64.9
8 km,F,16,26:16,1576,Sally,Barsosio Chepkemboi,KEN,3/21/78,,Toronto ON CAN,4/9/94,,64.6
8 km,F,17,25:29,1529,Gladys,Ondeyo ,KEN,5/10/75,,Portland OR USA,4/25/93,,67.0
8 km,F,18,25:52,1552,Ogla,Kimaiyo Cherono,KEN,7/24/88,,Kingsport TN USA,7/14/07,,65.8
8 km,F,19,25:50,1550,Hawa,Hussein Hamis,TAN,12/5/82,,Balmoral SCO,3/30/02,,65.9
8 km,F,20,25:29,1529,Emily,Muge Chebet,KEN,2/18/86,,Richmond VA USA,11/11/06,,67.0
8 km,F,21,24:58,1498,Buze,Diriba Kejela,ETH,2/9/94,,New Orleans LA USA,3/15/15,,68.6
8 km,F,22,25:36,1536,Elizabeth,Chemweno Cheruiyot,KEN,7/13/78,,Cartaxo POR,4/24/01,,66.6
8 km,F,23,25:09,1509,Lornah,Kiplagat ,NED,5/1/74,,Tilburg NED,6/1/97,,68.0
8 km,F,24,24:45,1485,Paula,Radcliffe ,ENG,12/17/73,,Balmoral SCO,4/11/98,,69.3
8 km,F,25,24:28,1468,Asmae,Leghzaoui ,MAR,8/30/76,,Kingsport TN USA,7/13/02,WB,70.2
8 km,F,26,25:00,1500,Betsy,Saina ,KEN,6/30/88,,New Orleans LA USA,3/15/15,,68.5
8 km,F,27,24:48,1488,Liz,McColgan ,SCO,5/24/64,,Washington DC USA,5/10/92,,69.1
