Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
12 km,M,6,1:04:50,3890,Charlie,Westrip,USA,8/15/10,,Aberdeen NC USA,12/3/16,,,,,,,,37.0
12 km,M,7,54:08,3248,Jason,Parks,USA,3/7/06,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,45.7
12 km,M,9,45:46,2746,Espen,Lehnst,USA,6/30/04,,Armada MI USA,5/10/14,,,,,,,,55.6
12 km,M,15,41:24,2484,Mitch,Kingery,USA,7/3/56,,Redwood City CA USA,9/4/71,,,,,,,,62.5
12 km,M,16,34:46,2086,Simon,Cheprot,KEN,7/2/93,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/10,,,,,,,,76.7
12 km,M,17,34:52,2092,Nicholas,Kemboi,QAT,11/25/83,,Lisbon POR,5/20/01,,,,,,,,76.4
12 km,M,18,34:23,2063,Chala,Lemi Demie,ETH,2/26/87,,Catania ITA,2/3/06,,,,,,,,77.7
12 km,M,19,34:21,2061,Jackson,Kirwa Kiprono,KEN,5/20/86,,Catania ITA,2/3/06,,,,,,,,77.8
12 km,M,20,34:07,2047,Wesley,Chelule Kipkurui,KEN,9/4/74,,Catania ITA,4/9/95,,,,,,,,78.4
12 km,M,21,33:51,2031,Micah,Kogo Kemboi,KEN,6/3/86,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/08,,,,,,,,79.1
12 km,M,22,34:19,2059,Parker,Stinson,USA,3/3/92,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,77.9
12 km,M,23,33:46,2026,Simon,Kigen,KEN,9/1/61,,Portland OR USA,5/19/85,WB,,,,,,,79.4
12 km,M,24,34:11,2051,Allan,Kiprono Kipkorir,KEN,2/15/90,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/14,,,,,,,,78.2
12 km,M,25,33:58,2038,Simon,Ndirangu Githuka,KEN,11/1/85,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/11,,,,,,,,78.8
12 km,M,26,34:10,2050,Reuben,Cheruiyot Kiprop,KEN,3/13/74,Lilac Bloomsday Run 12K,Spokane WA USA,5/7/00,,,,,,,,78.3
12 km,M,27,34:06,2046,Michael,Musyoki,KEN,5/28/56,,Portland OR USA,5/20/84,,,,,,,,78.5
12 km,M,28,34:21,2061,Rob,deCastella,AUS,2/27/57,,Itasca IL USA,10/6/85,,,,,,,,77.8
12 km,M,29,33:55,2035,Arturo,Barrios,USA,12/12/63,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/93,,,,,,,,79.0
12 km,M,30,34:04,2044,Zackariah,Barie,TAN,5/29/53,,Portland OR USA,5/20/84,,,,,,,,78.6
12 km,M,31,33:55,2035,Yobes,Ondieki,KEN,2/21/61,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/92,,,,,,,,79.0
12 km,M,32,34:17,2057,John,Korir Kipsang,KEN,12/15/75,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/08,,,,,,,,78.0
12 km,M,33,34:17,2057,Paul,Koech,KEN,6/25/69,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/03,,,,,,,,78.0
12 km,M,34,34:02,2042,Joseph,Nzau,KEN,4/14/50,,Portland OR USA,5/20/84,,,,,,,,78.6
12 km,M,35,34:09,2049,Andrew,Masai,KEN,1/13/60,,Catania ITA,4/9/95,,,,,,,,78.3
12 km,M,36,34:27,2067,Emile,Puttemans,BEL,10/8/47,,Palermo ITA,11/6/83,,,,,,,,77.5
12 km,M,37,35:03,2103,Suleiman,Nyambui Mujaya,TAN,2/13/53,,Braunschweig GER,6/22/90,,,,,,,,76.0
12 km,M,38,35:09,2109,Tesfaye,Bekele,ETH,2/5/71,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/09,,,,,,,,75.7
12 km,M,39,34:42,2082,Nelson,Chirchir,KEN,6/16/56,,Genoa ITA,4/14/96,,,,,,,,76.9
12 km,M,40,36:12,2172,John,Tuttle,USA,10/16/58,,Orlando FL USA,2/20/99,,,,,,,,73.1
12 km,M,41,36:31,2191,Nick,Rose,ENG,12/30/51,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/93,,,,,,,,72.4
12 km,M,42,35:57,2157,Antonio,Villanueva,MEX,7/25/40,,Portland OR USA,5/15/83,,,,,,,,73.7
12 km,M,43,36:59,2219,Kevin,Castille,USA,3/17/72,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/15,,,,,,,,71.3
12 km,M,44,36:59,2219,Kevin,Castille,USA,3/17/72,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/16,,,,,,,,71.3
12 km,M,45,37:51,2271,Mbarak,Hussein,USA,4/4/65,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/10,,,,,,,,69.4
12 km,M,46,37:07,2227,Benedito,Donizetti Gomes,BRA,11/16/61,,San Pablo BRA,3/2/08,,,,,,,,71.0
12 km,M,47,37:16,2236,Mbarak,Hussein,USA,4/4/65,Lilac Bloomsday Run 12K,Spokane WA USA,5/6/12,,,,,,,,70.7
12 km,M,48,38:06,2286,Mbarak,Hussein,USA,4/4/65,Lilac Bloomsday Run 12K,Spokane WA USA,5/5/13,,,,,,,,68.9
12 km,M,49,39:29,2369,Kristian,Blaich,USA,,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,66.0
12 km,M,50,39:06,2346,Sal,Vasquez,USA,12/15/39,Dome To Delta,"Sacramento, CA",4/22/90,,,,,,,,66.8
12 km,M,52,40:44,2444,Ronny,Agten,BEL,3/22/59,,Zandvoort NED,3/27/11,,,,,,,,63.7
12 km,M,53,39:48,2388,Fabien,Manzanares,FRA,2/20/60,,Saint Gely du Fesc FRA,9/8/13,,,,,,,,65.4
12 km,M,54,40:09,2409,Drago,Paripovic,CRO,11/5/59,,Murter CRO,8/17/14,,,,,,,,64.8
12 km,M,55,40:13,2413,Sean,Wade,USA,2/3/66,"River Oaks Invitational H Mar, 12 km Split","Houston, TX",2/6/21,,,,,,,,64.6
12 km,M,56,41:09,2469,Brian,Pilcher,USA,8/23/56,Lilac Bloomsday Run 12K,"Spokane, WA",5/5/13,,,,,,,,62.9
12 km,M,57,42:03,2523,Brian,Pilcher,USA,8/23/56,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,61.4
12 km,M,58,42:46,2566,Ken,Youngers,USA,7/20/56,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,60.2
12 km,M,59,42:27,2547,Jack,Nelson,USA,8/30/39,Outback Steakhouse,Orlando FL USA,2/20/99,,,,,,,,60.7
12 km,M,60,43:04,2584,Thomas,McCormack,USA,9/1/53,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,59.7
12 km,M,61,42:55,2575,Thomas,McCormack,USA,9/1/53,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,59.9
12 km,M,62,44:28,2668,Peter,Mullin,USA,11/29/50,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,57.5
12 km,M,63,44:26,2666,Rick,Becker,USA,,Lilac Bloomsday Run 12K,"Spokane, WA",5/6/18,,,,,,,,57.5
12 km,M,64,44:28,2668,Tom,Bernhard,USA,7/9/51,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,57.5
12 km,M,65,44:04,2644,Brian,Pilcher,USA,8/23/56,"River Oaks Invitational H Mar, 10 Mile Split","Houston, TX",10/30/2021,,,,,,,,58.1
12 km,M,66,47:36,2856,Lloyd,Hansen,USA,5/5/48,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,53.1
12 km,M,67,44:11,2651,Clive,Davies,USA,8/17/15,Run Between The States,"Portland, OR",5/15/83,,,,,,,,57.9
12 km,M,68,44:27,2667,Ed,Whitlock,CAN,3/6/31,,Buffalo NY USA,10/3/99,,,,,,,,57.5
12 km,M,69,50:21,3021,William,Riley,USA,5/29/36,Lilac Bloomsday Run 12K,"Spokane, WA",5/5/13,,,,,,,,49.7
12 km,M,70,51:46,3106,Len,Goldman,USA,9/28/44,Capitol City Classic 12K,"Sacramento, CA",4/26/15,,,,,,,,48.2
