Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
30 km,M,6,3:46:56,13616,Charlie,Westrip,USA,8/15/10,,Kingston TN USA,2/26/17,,,,,,,,26.3
30 km,M,15,1:46:13,6373,Mitch,Kingery,USA,7/3/56,,Pacific Grove CA USA,3/19/72,,,,,,,,65.0
30 km,M,17,1:43:27,6207,Scott,Jenkins,USA,9/24/63,,Lake Bluff IL USA,12/28/80,,,,,,,,67.0
30 km,M,18,1:32:12,5532,Hiroki,Takano,JPN,4/14/88,,Ome JPN,2/4/07,,,,,,,,76.6
30 km,M,19,1:31:00,5460,Kazuyoshi,Kudo,JPN,2/27/61,,Kumamoto JPN,2/22/81,,,,,,,,77.7
30 km,M,20,1:28:52,5332,Yuma,Hattori,JPN,11/13/93,,Kumamoto JPN,2/16/14,,,,,,,,79.9
30 km,M,21,1:29:51,5391,Chihiro,Miyawaki,JPN,8/28/91,,Kumamoto JPN,2/17/13,,,,,,,,78.9
30 km,M,22,1:28:36,5316,Takayuki,Matsumiya,JPN,2/21/80,,Kumamoto JPN,2/16/03,,,,,,,,80.2
30 km,M,23,1:26:31,5191,Kelvin,Kiptum,KEN,12/2/1999,Chicago Marathon (30K split),Chicago IL USA,10/8/2023,WB,,,,,,,82.4
30 km,M,24,1:29:28,5368,Toshiyuki,Hayata,JPN,5/2/68,,Kagoshima JPN,2/28/93,,,,,,,,79.3
30 km,M,25,1:27:34,5254,Sisay,Lemma Kasaye,ETH,12/12/90,,Berlin GER,9/25/16,,,,,,,,81.3
30 km,M,26,1:30:04,5404,Takeo,Nakahara,JPN,9/17/68,,Kumamoto JPN,2/26/95,,,,,,,,78.7
30 km,M,27,1:27:29,5249,Evans,Kiplagat Chebet,KEN,11/10/88,,Berlin GER,9/25/16,,,,,,,,81.4
30 km,M,28,1:30:07,5407,Yoshinori,Oda,JPN,12/5/80,,Kumamoto JPN,2/22/09,,,,,,,,78.6
30 km,M,29,1:29:21,5361,Toshihiko,Seko,JPN,7/15/56,,Hiroshima JPN,3/16/86,,,,,,,,79.4
30 km,M,30,1:27:26,5246,Alfers,Lagat Kipruto,KEN,8/7/86,,Berlin GER,9/25/16,,,,,,,,81.4
30 km,M,31,1:28:56,5336,Emanuel,Mutai Kipchirchir,KEN,10/12/84,,Berlin GER,9/25/16,,,,,,,,79.8
30 km,M,32,1:30:49,5449,Keita,Fujino,JPN,8/17/67,,Kumamoto JPN,2/20/00,,,,,,,,77.9
30 km,M,33,1:28:00,5280,Geoffrey,Ronoh,KEN,11/29/82,,Berlin GER,9/25/16,,,,,,,,80.8
30 km,M,34,1:27:26,5246,Wilson,Kipsang Kiprotich,KEN,3/15/82,,Berlin GER,9/25/16,,,,,,,,81.4
30 km,M,35,1:30:33,5433,Rachid,Kishri,MAR,3/1/75,,Lugano SUI,9/26/10,,,,,,,,78.2
30 km,M,36,1:29:31,5371,Suleiman,Simotwo Kipses,KEN,4/21/80,,Berlin GER,9/25/16,,,,,,,,79.2
